RGN,CAN,1930930
HGH,SHE,1295374
KMG,CKG,629640
JFK,MSY,1902461
BLR,AUH,2723694
CCU,BOM,1667514
BOM,SIN,3920339
PVG,HRB,1652897
CGO,KMG,1482133
KWL,HGH,1165038
PVG,MFM,1288037
NCE,BOD,646460
BLR,COK,365716
CTU,TSN,1546380
BOM,CCJ,940281
BOM,MAA,1032080
COK,MCT,2432174
HER,LED,2744405
MSY,JFK,1902461
IST,CDG,2240732
BOM,BRU,6873050
AUH,MAA,2967042
CDG,SKG,1863233
SHA,XMN,802067
TIA,ATH,529458
ATH,DUS,2005223
DME,ATH,2207252
HER,BRU,2397382
BCN,ATH,1908948
PVG,HKG,1253823
MSY,MEM,560538
RGN,SIN,1924218
SYR,ATL,1277132
KWI,AUH,850153
TIP,JED,2838796
ATH,SOF,530522
